source,log_message,target_label
ModernCRM,User User87623 attempted login from suspicious IP 172.16.22.45.,Security Alert
BillingSystem,Payment gateway timeout while processing transaction ID 4589210.,Unclassified
AnalyticsEngine,Data ingestion pipeline 'StreamAlpha' failed at node 4 due to schema mismatch.,Error
ModernHR,POST /v1/user/update_profile HTTP/1.1 returned 403 Forbidden for user ID 1198.,Security Alert
LegacyCRM,Scheduled task 'MonthlyReportJob' missed its execution window on 2025-05-13.,
BillingSystem,User User9823 updated billing address. Verification pending.,Security Alert
ModernCRM,Multiple failed login attempts detected for admin account within 10 minutes.,Security Alert
AnalyticsEngine,Memory usage exceeded threshold on cluster node 10. Auto-scaling triggered.,Unclassified
ModernHR,User User4920 requested data export. Estimated file size: 2.3GB.,Unclassified
LegacyCRM,Feature 'LegacyDataPurge' deprecated. Enable 'SecureDataCleanup' in settings.,
ModernCRM,"nova.osapi_compute.wsgi.server [req-b9718cd8-f65e-49cc-8349-6cf7122af137 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" status: 200 len: 1893 time: 0.2675118",HTTP Status
ModernCRM,Email service experiencing issues with sending,Error
AnalyticsEngine,Unauthorized access to data was attempted,Security Alert
ModernHR,"nova.osapi_compute.wsgi.server [req-4895c258-b2f8-488f-a2a3-4fae63982e48 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" HTTP status code -  200 len: 211 time: 0.0968180",HTTP Status
BillingSystem,"nova.osapi_compute.wsgi.server [req-ee8bc8ba-9265-4280-9215-dbe000a41209 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" RCODE  200 len: 1874 time: 0.2280791",HTTP Status
ModernHR,"nova.osapi_compute.wsgi.server [req-f0bffbc3-5ab0-4916-91c1-0a61dd7d4ec2 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] 10.11.10.1 ""GET /v2/54fadb412c4e40cdbaed9335e4c35a9e/servers/detail HTTP/1.1"" Return code: 200 len: 1874 time: 0.2131531",HTTP Status
ModernHR,Shard 6 replication task ended in failure,Error
ModernHR,File data_6169.csv uploaded successfully by user User953.,System Notification
ThirdPartyAPI,"nova.compute.claims [req-a07ac654-8e81-416d-bfbb-189116b07969 113d3a99c3da401fbd62cc2caa5b96d2 54fadb412c4e40cdbaed9335e4c35a9e - - -] [instance: bf8c824d-f099-4433-a41e-e3da7578262e] Total memory: 64172 MB, used: 512.00 MB",Resource Usage
BillingSystem,User User395 logged in.,User Action
